username,full_text
Brullsz,@rainnrf sbnrnya upi tu ga cuma buat lulusan guru aja (kecuali lu ambil jurusan yg pendidikan iya). Sbnrnya UPI sm UNJ tu dl sama (kl gaslh) krna dlu sm2 namanya IKIP ya mmng buat yg mau jadi guru kuliah dsna. tp skrng udh umum ga cuma buat yg mo guru aja. gua skrng jg gap mo ambil k bdg
misaksi,@arifin_writer @syaithannn @PartaiSocmed ya mau dibandingin sama peternah SD kuliah IRT jg menang pagi. kalo mau bandingin ya berdasarkan tiap Paslon paling banyak dari mana? hasilnya kan Anies paling tinggi dokter pengacara pengusaha dgn pendidikan kuliah Prabowo paling tinggi ibu rumah tangga dgn pendidikan SMA
egyptmoses911, Ganjar Pranowo janji bakal biayai pendidikan Anak keluarga miskin hingga kuliah #GanjarPeduliGenerasiRI #GanjarPeduliGenerasiRI https://t.co/NFLdRJrPy6
genie037, Ganjar Pranowo janji bakal biayai pendidikan Anak keluarga miskin hingga kuliah #GanjarPeduliGenerasiRI #GanjarPeduliGenerasiRI https://t.co/ysJ4WNksag
wlitches,@collegemenfess iya saya kuliah pendidikan bahasa inggris - lemah - mabok phonetic - guru honorer gaji under umr saya kuliah untuk mendidik anak bangsa biar Indonesia tololnya gak tolol banget - INDEPENDENT WOMAN - GIBAH TANPA ADA YG NGERTI - DAPAT HATI LORENZO - tetep honorer
pksbogor,Misalnya saja hari ini di Desa Pasir Jambu Kecamatan Sukaraja. Ibu-ibu remaja dan orang tua berbaur bersama dalam kegiatan tebus murah. salah satu orang tua yang hadir menyampaikan rasa terima kasih kepada Habib karena anaknya bisa kuliah berkat program advokasi pendidikan.
NKRIBerbicara,Ganjar akan biayai pendidikan anak keluarga miskin hingga kuliah. #GanjarPeduliGenerasiRI
NKRIBerbicara,Ganjar akan membiayai pendidikan anak keluarga miskin hingga kuliah. #GanjarPeduliGenerasiRI https://t.co/KxjPyLWwxR
egyptmoses911, Ganjar Pranowo akan biayai pendidikan Anak keluarga miskin hingga kuliah #GanjarPeduliGenerasiRI #GanjarPeduliGenerasiRI https://t.co/nX6FFN73Gn
genie037, Ganjar Pranowo akan biayai pendidikan Anak keluarga miskin hingga kuliah #GanjarPeduliGenerasiRI #GanjarPeduliGenerasiRI https://t.co/lQJk0K86Q1
bugykoda,Guys level perguruan tinggi itu bukan lagi mengajarkan mana yg benar dan yg salah. Alasannya: - materi kuliah itu lebih kompleks. Waktu 4 tahun atau kurang itu mepet. - usia kuliah udah dewasa. Udah bisa cari informasi sendiri. - pendidikan akhlak dan norma di usia kuliah sulit.
egaoctavianiii,Ini pada saat dibangku perkuliahan karena ada mata kuliah mengetik 10 jari. Makin naik semester makin terasah dan aku serta beberapa temanku : Ipeh dan Diana ditunjuk buat mengikuti kompetisi tersebut (mereka hebat loh karena background pendidikan sebelumnya SMA~
sheshersslf,@tanyarlfes oh iya pendidikan. aku bakal usahain sekuat apapun buat ngasih dia pendidikan terbaik. karena aku dulu gabisa kuliah aku pengen anakku sekolah setinggi mungkin. even dia pengen sekolah ke luar negeri bakalan ku usahain.
mum_id,Persyaratan: * Diutamakan Perempuan; * Usia 18 - 25 tahun; * Pendidikan min. SMA/SMK sederajat; * Tidak sedang kuliah; * Mampu mengendarai sepeda motor Periode Pendaftaran: 28 Desember 2023 - 08 Januari 2024 Pelaksanaan seleksi: 09 Januari 2024
ruru01077,@Melihat_Indo Luar biasa kisah perjuanganmu Mas Ramdhan! Mskpun hrs bekerja sambil kuliah semangatmu mmbktikn bahwa setiap org berhak mndptkan pendidikan. Salut jg utk Program Satu Keluarga Satu Sarjana yg diusung Pak Ganjar smga bsa membuka pintu kesempatan bgi lebih banyak generasi muda.
daiqys,Kerja wirausaha. aku pengen jadi boss soalnya wkwk sambil ngajar sih biar ilmu ku bermanfaat. kebetulan juga aku kuliah pendidikan.
nikkiaja26,@tanyarlfes Sama kyk aku gaakan dikasih kerjaan rumah pendidikan ful sampe kuliah dan harta waris.
histeoric,@collegemenfess Pendidikan Bahasa dan Sastra Indonesia. Sejauh ini salah satunya ada mata kuliah Pragmatik.
Dompling7,Ganjar Pranowo akan biayai pendidikan anak keluarga miskin hingga kuliah #GanjarPeduliGenerasiRI https://t.co/Mi4zW1nmah
masbenx,@worksfess Temen kuliah saya dulu pengen banget jadi pramugari walau sulit ia selalu bersikeras mencoba. ikut banyak pelatihan dan pendidikan namun selalu gagal. Bahkan keluarganya tidak merestui sampai nyuruh dia buat cari pekerjaan lain. Akhirnya dia jadi pramugara.
grcjihooniess,@convomfs a. pendidikan gua mau masuk kuliah tahun ini tuh asli berat bgt dari awal tahun sampe pertengahan semuanya full nangis dan berat debat sama ortu tentang ini 2023 gua rasa ga buruk-buruk amat lahh walau awal dan tengahnya menyiksa batin wkwkwkwk
RstmBcl,Ganjar Mahfud Menjadikan rakyat Indonesia berkualitas - Pendidikan sarjana Utk Semua Kesejahteraan keluarga meningkat - Bantuan lbh Lengkap Biaya hidup &amp; Kuliah - Sarjana siap Industri Lulusan berkualitas sesuai kebutuhan jaman 1 Keluarga miskin 1 Sarjana #GanjarUntukSemua https://t.co/giJjP0hBXJ
ON_dikara,This wkwkwkwk duh stereotipe orang kuliah di LN menjamin attitude tuh darimana banyak orang pendidikan tinggi tapi gak berpendidikan kok fakta di lapangan aja orang yg maaf gak sekolah tinggi malah lebih sopan dan lebih bisa menghargai orang lain....
Nandang_1771,Ganjar Pranowo akan biayai pendidikan anak keluarga miskin hingga kuliah #GanjarPeduliGenerasiRI https://t.co/UbmPq05bNB
zuuaerrr_u,@convomfs 1.pendidikan gua sedih banget asli kalo di tanya mau lanjut ke mana. bingung gua hrus kerja tapi di dalem lubuk hati pengen banget gua kuliah yaa cmna mau gimna lgi ga bisa di paksa juga... 2.keluarga gatau kenapa masalah keluarga di tahun ini bener bener kek jirr kacau banget
buzyguirlds,@tanyakanrl gabisa nurutin kemauan sendiri apalagi soal pendidikan dari tk sampe kuliah pilihan ortu 
Cahaya08971910,Ganjar Pranowo akan membiayai pendidikan anak keluarga miskin hingga kuliah #GanjarPeduliGenerasiRI https://t.co/qx6ghOhtyz
nilzkee,@suaralautbiru Poin pentingnya adalah komponen biaya pendidikan yang berbeda . IISMA pertukaran keluar negri sedangkan BU kuliah full di dalam negri. Jadi komponen biayanya berbeda. Tapi waktu iisma kan 1 semester ga di PTN jadi UKT di semester tersebut harus dibalikin ke BU
mimakhayla,Capres nomor tiga Ganjar Pranowo #GanjarPeduliGenerasiRI Janji bakal biayai pendidikan anak keluarga miskin hingga kuliah https://t.co/eHL22kvj41
mimakhayla,Capres nomor tiga Ganjar Pranowo #GanjarPeduliGenerasiRI Akan biayai pendidikan anak keluarga miskin hingga kuliah https://t.co/KHls4QFD0L
snjajokitugas,@rensarx bisa ke aku ka. kebetulan aku anak teknologi pendidikan. jadi sering banget buat modul interaktif
um_fess,um! aku kuliah jurusan pendidikan tata niaga hehehe - tidak percaya diri - terlihat seperti ketrima pil kedua - calon guru - tata niaga belajar apa? AKU KULIAH JURUSAN BISNIS - calon pengusaha muda - calon pengisi sound dj joana - calon pembuka lapangan kerja (cont..)
Pinjamanonli,BUTUH PINJAMAN : Dana Pendidikan Dana Kuliah Dana Renovasi Rumah Dana Modal Usaha Dana Sampingan Silahkan Hubungi/Chat. Klik Link WhatsApp: https://t.co/IARnx7qQzq Amanah&amp;Terpercaya. @Pinjamanonli #twitter #youtube #facebook #telegram #instagram #TikTok #viralTiktok
notlastdragon,@cagrdigan eeeiiiyy cakep banget kuliah bahasa inggris pendidikan atau sastra kak? dulu waktu smp belajar otodidak dari mana?
meow_get,@collegemenfess Iya saya kuliah prodi Pendidikan Sejarah - dibilang ga penting - Manusia purba - Cari patung batu DEMI KEMAJUAN ANAK BANGSA YG BISA BELAJAR DARI MASA LALU AGAR TDK MENGULANGI KESALAHAN DI MASA LALU - Mengungkap salah paham - Mengingat kesalahan - Masa depan CERAH
Pinjamanonli,BUTUH PINJAMAN : Dana Pendidikan Dana Kuliah Dana Renovasi Rumah Dana Modal Usaha Dana Sampingan Silahkan Hubungi/Chat. Klik Link WhatsApp: https://t.co/IARnx7qQzq Amanah&amp;Terpercaya. @Pinjamanonli #twitter #youtube #facebook #telegram #instagram #TikTok #viralTiktok https://t.co/l8pdDNidbW
mztommygun,@yusing Seiring waktu sistem pendidikan tinggi mengarah pada kapitalisasi. Kampus-kampus dibentuk seperti perusahaan yang mengikuti logika pasar. Fenomena ini melahirkan situasi yang memaksa banyak mahasiswa putus kuliah. https://t.co/HlL7hiyALI
ofSereanities,Dulu ada. Bukan terjadi di gue tapi kakak gue. Beliau bilang katanya kuliah ambil jurusan kesehatan gak bakal jadi apa-apa. Tapi kakakku yang super itu buktiin sendiri kalau dia bisa berhasil asal ada kemauan dan bahkan bisa lanjut sampai pendidikan tinggi.
Yoorara85,Yg mau kuliah S.Pd banyak tp yg mau ngajar di desa ga ada pak. Jd ya pendidikan bermutu yg merata itu cuma angan2 yg ntah kapan terwujud. Sapra SMP di desa saya saja bangunannya setengah permanen guru2 yg ngajar Sarjana dr Desa siapa yg mau ngajar aja yg penting ada gurunya 
undikshabali,Kartu Indonesia Pintar (KIP) Kuliah Tahun 2024: Info Lengkap Pendaftaran dan Jadwal Terbaru Link: https://t.co/HT9o1stsng https://t.co/HT9o1stsng
Haruruiki,@collegemenfess saya kuliah jurusan pendidikan bahasa Jerman - kaku - ga asik - pusing sama gramatik Saya kuliah untuk mengajarkan bagaimana cara Hitler berpikir - STRONG - NaZi - pusing sama gramatik
Vivieasiksekali,@sbyfess Pasti nder pendidikan itu berpengaruh ke struktur berpikir otomatis mempengaruhi cara berkomunikasi cara mengambil keputusan cara memandang hidup dan persoalan dan banyak lagi. Pendidikan yg dimaksud tuh ga cuma dibangku sekolah atau kuliah ya tapi pola asuh juga dsb
sgtngantuk,alasan gw semangat dan rajin kuliah sejak maba sampai sekarang dulu gw bingung mau jadi apa akhirnya menetapkan untuk bercita-cita sbg pendidik daftar snmptn pendidikan matematika dan lulus yah artinya gerbang gw udah terbuka tinggal masuk dan dilewati https://t.co/YBasMt6oPH
makanwaffle,Judulnya sadar akan isu sosial tapi bawa2 kurangnya pendidikan idol padahal most of them juga ikut kuliah ato minimal homeschooling dan ikut Equivalency Examination
agustinahoho,Lihat case rohingnya tuh harus lihat dua sisi juga dong bang lu dapet pendidikan sampai kuliah lah mereka? Dari lahir hak dasar aja ga punya gitu masih salah lagi â
kutapsayur,potret mahasiswa tingkat 2 melihat keluarga borjuis dengan gclass g63 amg 2021 nya yg menuju lokasi pengobatan alternatif (kami berpikir untuk berhenti kuliah &amp; mempelajari keilmuan spiritual tingkat lanjut agar bisa menyembuhkan orang tanpa harus menempuh pendidikan kedokteran) https://t.co/J4QnpANuSB
um_fess,Um! Saya Kuliah Jurusan Pendidikan Geografi - Guru - â Belajar Batu - â Belajar Nama Kota/negara/bumi SAYAA GURU MBOLANG YANG MEMPELAJARI ILMU AVATAR DAN BISA MEMBUAT PETA ALAM SEMESTA - BADAS - â PENERUS AANG - â PENJELAJAH ALAM SEMESTA - â BERMAIN-MAIN = BELAJAR
pacarOhmNonY,Baru kali ini ada orang yang ngatain punya pendidikan lebih bikin STRESS Wdyt mom? @ThelmaRungkat This is pentingnya Kuliah untuk membentuk pola pikir Yaudah sih gue juga ga peduli sama fandom lain EGP Yang penting ON RedGreen jayaï¸
Far_gel,hanya 9% ilmu yang bisa di terapin dari pendidikan kuliah sisanya experience mentality Iq religi.
notmelati,@sbyfess Menurutku sawang sinawang nder. Ga setara pun blm tentu gagal ada juga kok yang mungkin belum berkesempatan rasain pendidikan tingkat lanjut tapi mindset dan karakternya lebih oke dr yg bisa kuliah dan tetep bisa bikin nyambung juga
himenina,@undipmenfess Kalo mau daftar pns ngaruh buat syarat pendaftaran aja sih selebihnya kalo dah ketrima tergantung ilmu adaptasi kita gmn soalnya kerjaannya kadang gak sesuai sama background pendidikan jaman kuliah 
biruuzha,@sbmptnfess aku baru Maba dan kuliah dijurusan pendidikan olahraga sejauh ini ga nyesel kuliah di jurusan ini malah aku seneng soalnya ini jurusan yg aku pgn walaupun melelahkan karena harus turun kelapangan tp jurusan ini memang seru pokoknya ga bosen dehh
sebutirAtom2,Singkat cerita gue sering diskusi masalah kuliah maybe dulu gue masih naif yaaa masalah strata pendidikan dan ayah juga nyaranin kuliah but gue lebih milih jalur ini ayok kuliah bim gue tkt gak bisa jaga hafalan jwb gue ttp bisa . 
snjajokitugas,@inisecret13 kebetulan ak anak teknologi pendidikan ka. bisa banget..langsung wa nomor dibi9
tarduluuuu_,@tanyakanrl Setuju sama bapaknya dan gw sbg (adik). Yg gw tanggap gw kuliah pas masa jaya orang tua dah abis tinggal sisanya (Masi Alhamdulillah banget). Kakk ini gak mikirin itu dia lulus pendidikan baru dapet kerjaan enak belum lama langsung ngebet nikah padahal kerja buat sendiri
citeah,nyesel ga nyesel masih dikasih rezeki kuliah aja alhamdulilah bgt caper lu ngirim mf kyk gini buat apaan? bikin org pada pesimis anjr klo pendidikan jurusan pling disesali mah udh dri dulu bonyok gua kaga bakal ambil tu jurusan buktinya makmur bonyok gua jadi guru 
irvineadvent27,@brishloner Pendidikan rendah dalam arti gk kuliah ya. Totalnya ada 87% an hampir 90% an Like i said. Siapapun pemenang di pemilih pendidikan rendah akan jadi juara pilpresnya https://t.co/QOgDXyPy4D
Huseinmuh553,Usai isi kuliah di Pasca PKUMI Pendidikan Kader Ulama Masjid Istiqlal. Hari ini. https://t.co/lGqGqpaG3P
hensemraaaa, yailah kuliah cuma ngopi dengan gaya ucap sesorang yang tidak tau arti memperjuangkan pendidikan. emg keliatanya cuma duduk merhatiin dosen persentasi terus pulang padahal tugas kmrn uda blm ya duh gapaham nnya siapa ya banyak tugas ruma tpi tugas kuliah juga banyak 
didikpos,Nih mimin spill cara milih jurusan di SNBP 2024 source: @zhifaaaaaz #pendidikan #indonesia #sekolah #belajar #pendidikanindonesia #education #mahasiswa #pendidikankarakter #bimbel #guru #edukasi #kuliah #kampus #universitas https://t.co/TZVp9M6KnW
snjajokitugas,@hel0madafcr kebetulan ak anak pendidikan teknologi ka. jadi bisa bamget. langsung wa nomor dibio ya
zella_yentriii,Koneksi Antar Materi Topik 5 Mata Kuliah Filosofi Pendidikan #pendidikanpancasila #ppgprajabatan https://t.co/mZoLCtI1JJ
sIeepinprinceee, saya kuliah jurusan pendidikan ipa - jurusan apa itu? - nerd - lemah SAYA INGIN MENCERDASKAN ANAK BANGSA - visioner - patriotisme tinggi - AMIN
wonygeul,Ntar tibaÂ² ngomong menunda kuliah juga termasuk salah satu bentuk mereka nggak bisa mengenyam pendidikan dg semestinya 
Issmud2,@AslamSultanEmba @kegblgnunfaedh Orang pendidikan bisa ngetik begini? Rugi kuliah+ PPG
thehot_man,@deulicyous @sbyfess bukan rahasia umum gaji guru kecil tapi kenapa lu kuliah pendidikan apa karena hanya cari tittle kampus
AdhiraReina, saya kuliah ilmu perpustakaan - remeh - g mnarik - cm jaga perpus SAYA DIAJARKAN UNTUK MENGANALISA KEBUTUHAN INFORMASI ANDA DAN MENGELOLA SUMBER-SUMBER PENGETAHUAN DI DUNIA - pro dlm menggali info - berjasa dalam dunia pendidikan - tahu segala genre jurnal bhkn yg blm di up
zella_yentriii,Demonstrasi Kontekstual Topik 5 Mata kuliah Filosofi Pendidikan Indonesia #ppgprajabatan #pendidikan https://t.co/Z2s3qHDsUF
Hirfandiyansa,@imanlagi Data katanya lagi acara Desak Anies ini untuk kalangan menengah ke atas yg terdidik. Tapi menurut survey engga begitu hasilnya. Pekerjaan seperti dokter pengusaha konsultan dan sejenisnya malah tertinggal jauh dari 02. Untuk pendidikan SMA dan Kuliah gitu juga beda jauh. Hehe https://t.co/nXe4knF0er
inblue__,:dirumah aza neng gak liburan? âï¸: kagak ada kewajiban yg hrs dibayar setelah liburan bayar ukt boys 24 yuta! : kalok punya anak2 yg kuliah emang hrs prihatin yes! pendidikan semakin mahal apalagi di ptn yg berkualitas.
syarifaks,Kadang bingung mau pendidikan Indonesia maju tp yg masuk atau kuliah guru lebih banyak terpaksa . Sekalinya tidak terpaksa gaji yg didapatkan tidak sepadan dgn beban kerjanya. Kalau kyk gini kapan mau benernya?
nonyahasyim,@modernissatire @CNNIndonesia Iya. Benar. Tapi belum mendesak. Mending kasih kerjaan reformasi dunia pendidikan baru ke sini. Ketika lulusan sekolah sudah bisa menghasilkan duit karena skilset mereka mereka akan bisa self-fund untuk kuliah. Jadinya program ini gak harus direalisasikan.
hyunsukiao,@toxicscreamtxc banyak yang bilang Secret Number flop membernya malah fokus kuliah pdhal ya pendidikan penting bgt
rajinjalankaki,@18fesss Pendidikan belum tentu berpengaruh ke pola pikir yg kuliah mungkin pola pikirnya diasah di bangku sekolah tapi yg ga kuliah dan kerja juga pola pikirnya diasah di lingkungan kerja cukup liat personalitynya aja dia bisa ngimbangin lu apa ngga
nissaamllia,Dari SMK Jateng sampe lulus kuliah semuanya mungkin kalo punya pemimpin kayak Ganjar yang bener-bener mikirin pendidikan. @bukanpeliharaan ProgramGanjarMahfud https://t.co/Vr4jnGmrfx
yrmallany,@ardisatriawan diluar gaji guru honorer memang ga proper Tp Pak Solihin kalau nggak kuliah mungkin ga jadi guru dan malah ga dapet gaji 1.5 juta perbulan. Pendidikan nggak serta merta menjamin hidupmu tapi meningkatkan kemungkinan kamu hidup lebih baik.
hmmningkai,@ErlanggaAdyaksa @convomfs Sudah kak. Aku punya ipar perempuan. Katanya pernah kuliah. Usianya diatas ku beda 15 tahun. Tapi ga becus asuh anak. Semua tergantung manusia itu terdidik atau tidak selama mengenyam bangku pendidikan.
materials_id,@dokteryoseph @ardisatriawan Entah ya pak tetapi pengalaman saya selama SMA diajari sama guru yang lulusan MIPA lebih bisa masuk alias gampang dimengerti khusus pelajaran STEM. Beda dg guru yang lulusan pendidikan. Ini saya tahu karena guru saya bilang sendiri dulu kuliah di MIPA Unpad.
materials_id,@ardisatriawan @dokteryoseph Surprisingly enough justru guru-guru yang kompeten dan punya jiwa mengajar itu dari jurusan MIPA kalau saya lihat-lihat. Mereka lebih berdedikasi daripada yang kuliah jurusan pendidikan.
AjieNdoro,@tugugolonggilig @alextham878 Kalau hak nya sama itu supir truk pedagang kaki lima pedagang Pasar buruh kasar dll. Tolong anaknya kasih pendidikan geratis Kuliah geratis sampai ke Luar Negeri
ardisatriawan,@dokteryoseph @materials_id Kebanyakan yang kuliah di jurusan pendidikan bukan pilihan pertamanya...
nzmiln, Saya kuliah kedokteran -Mainstream -'Sudah banyak dokter' -B aja SAYA MENJALANI PENDIDIKAN PSIKOPAT LEGAL -Keren -Mengintimidasi -Menakutkan
chrysanthemumee,Aku pernah kuliah pendidikan basing dan ada dosen ku yg suka bgt buku anak2 yg kaya gini. Beliau suka cerita ttg buku nya dan mmg walaupun sederhana buku nya banyak bgt hal yg bs diambil 
lapeklqmak,Sok ngomongin pendidikan tinggi idol nya aja kena do pas SMA. Dan gue yg emang kenal dunia KPop karena Bangtan ngira semua idol pasti lulus kuliah tp ternyata banyak jg yg enggak ya.
CikDirga,@ardisatriawan Betul banget kalau gak ada perbaikan untuk kemakmuran guru banyak yang kuliah pendidikan karena cuman pengen masuk PTN aja. Setelah itu mencari karir di tempat lain. Padahal sekolahan makin banyak tp yg jd guru kurang peminat.
igotwodays,@springbearhour Dan jaman skrg tu pilihan pendidikan lebih luas jd mereka lebih fleksibel kapan mau kuliah atau pendidikan nonformal lain.
Jengyah_, saya kuliah magister Pendidikan -lemah -terlihat seperti kutu buku yang gila belajar -pasti kuliahnya cuma mau ngejar karir Saya memelajari ilmu Pendidikan tingkat magister dengan konsentrasi asesmen agar kelak bisa merumuskan asesmen yang tepat untuk mengukur keterampilan
jaeyunugm,even if mereka lulus sma/lanjut kuliah kadang mereka gabisa all in ke pendidikan
nyenye437888,perempuan emang ga pantes ya mengeyam pendidikan di bangku kuliah?
Haruu1508, Saya kuliah Pendidikan. -jadi honorer -gajinya dikit -harus serba bisa Saya ingin mencerdaskan kehidupan Nusa dan Bangsa. -keren -sangar euy -overpower -tangguh
CC_Cookies4,Gmowning cantikkk @F_OllaJKT48 Have a nice day!! Semangat hari inii semangat buat show terakhir di tahun 2023 Cuman mau bilang kamu keren bangetttt di tahun ini! Bahkan seingetku cuman pernah skip show theater sekali karna bentrok kuliah. Ngutamain pendidikan keren bgt 
mikazukilily,@collegemenfess sy kuliah pendidikan bhs inggris - mw jd guru b. inggris ya? - honorer gaji minim - ikut PPG gak? SAYA BLJR BRBGAI BNTUK LEARNING APPROACH SRTA ILMU KEBAHASAAN &amp; SASTRA BHS INGGRIS U/ MNCERDASKAN ANK BANGSA - MULIA - WOW PAHALA BNYAK - DAMN KAMUS OXFORD BRJLAN - GK AMBIL S2?
selenophiland,@ardisatriawan Tambahan dan jangan ambil kuliah pendidikan ya Ucapku kepada adikku. Agar tidak seperti kakak kakaknya yang gajinya dibayar 3 bulan sekali.
waroenggoling,Pendidikan adalah kunci pemutus rantai kemiskinan Keluargaku paling miskin di desa tak punya sawah rumah dan listrik sewa nyala jam 18.00-06.00 Dgn memfokuskan resource yg ada ke pendidikan 3 dari 4 saudara lulus kuliah dan 1 SMA Kini kami sudah mentas dari garis kemiskinan
_ayam_jago,@ch_chotimah2 Masalah kualitas pendidikan saja belum merata ini sudah buat program sarjana. Masih banyak sarjana menganggur blum lagi biaya kuliah tdk sedikit. Yg baik itu bagaimana membuat masyarakat mandiri jgn diarahkan jdi pegawai dgn gelar sarjana itu.
jwooamb,@kegblgnunfaedh Emang harusnya gtu sih nder karena kan ini dunia pendidikan ya beda klo udh di luar. Walaupun kita sedeket itu sama dosen klo udh masuk jam kerja/jam kuliah kata aku ini diganti dgn saya itu namanya profesional juga termasuk dunia kerja juga.
gustavrinaldi7, Saya kuliah jurusan keguruan - normies - madesu - vibes gaji honorer Saya sedang merombak sistem pendidikan Indonesia! - revolusioner - inovatif kreatif kritis - kandidat menteri pendidikan indonesia emas 2045 
pretenderngitis, Iya saya kuliah pendidikan bahasa Jepang - lemah - terlihat bergaji kecil - wibu Saya laskar pencetak pejuang Indonesia agar tak bisa dibodohi penjajah untuk kedua kalinya di masa depan - STRONG - POWERFUL - TERLIHAT BERJASA - NASIONALIS - FUCK KANJI
maroontaylour,iya saya jurusan pendidikan matematika - lemah - tidak percaya diri SAYA KULIAH UTK MEMBUAT SEMUA ORANG PANDAI MATEMATIKA - STRONG - POWERFULL - TERLIHAT MENYERAMKAN - GALAK (CALON GURU KILLER)
Oajayakentut, Aku kuliah ambil Kegurun dan Pendidikan -oh jdi guru yah -ngapain jdi guru gajinya kcil -emg bs ngajar Aku kuliah ambil pendidikan bahasa inggris -wedeeeh keren -minta tolong benerin bahasa inggrisnya ini bener gak?!?!? -ih jago bahasa inggris ya 
yukina_walin, saya kuliah pendidikan biologi -tidak menarik -ngapain jadi guru -buang duit -jurusan mahal Saya mempelajari ilmu-ilmu makhluk hidup dan bagaimana mengaplikasikan ke anak-anak -terlihat keren -mencerdaskan anak bangsa -pahlawan tanpa jasa -garis terdepan sektor pendidikan
chuuyaO_O, Saya kuliah jurusan Pendidikan Biologi - lemah - nerd - gaji mungil Saya bisa membiakkan bakteri dan menyebarkannya ke penjuru dunia - ditakuti semua orang - superior - perang biologi dimulai - c0vid part 2
BENEVIEN7O, iya saya kuliah teknologi pendidikan - tidak familiar - itu kerjanya ngapain? - lemah AKU ISO NGGAWE RANCANGAN PEMBELAJARAN SAK KAREPKU DHEWE - keren - cool - anti mainstream - ENGGAK JADI GURU
TalkPolitik_,Ganjar Janji Bakal Biayai Pendidikan Anak Keluarga Miskin hingga Kuliah #LanjutGAN #LanjutGANsemuakerja #LanjutGANsemuamurah #GanjarSikatKorupsi #GanjarMahfud #GanjarPranowo #GerakCepat #MahfudMD #IndonesiaUnggul #IndonesiaLebihBaik https://t.co/rgFvZSmUFV
sikapmumas,@collegemenfess iya saya kuliah pendidikan bahasa arab - lemah - honorer - ikhlas beramal adrusu fiil qism ta'limil lughoh al arobiyyah - OVERPOWER - PERCAYA DIRI - ALIM - MASHAALLAH TABAROKALLAH - TETEP IKHLASSS BERAMALLL
Fucekboiii, Gua kuliah Pendidikan Teknik Mekatronik -Teknik tp kok S.Pd -Bukan murni anak teknik -Paling jadi guru Jangan salah ya -Bisa kerja di industri -Paham IoT bahkan bisa bkin sendiri -Jadi guru juga emang kenapa?
BUNWEI0320,@woongielluv aku bukan tabog waktu smk iyaa tapi skrng kuliah pendidikan kesejahteraan keluarga konsetrasi pariwisataaa
ayashyay,Kuliah di Fakultas Pendidikan makanya udah pasti berpendidikan
Benayawap,Dulu kepikiran bakal ambil kuliah pendidikan sejarah buat gantiin guru di SMA karna dari SMP osn ips dan di SMA ikut lomba sejarah terus menerus. Bahkan wktu SMP prnh masuk koran diwawancarai mau jd apa dan nyebut sejarawan Tp diurungkan karna ga melihat kehidupannya terjamin
semogadiridhoiy,Pak Anies adalah tokoh terbaik diantara tokoh reformasi : pinter akhlaqnya paling baik aktifis mahasiswa mhsiswa berpreatasi kuliah LN dg beasiswa pulang jd aktifis indonesia mengajar rektor termuda 20 tokoh muda dunia menteri pendidikan terbaik. Gubernur terbaik.
Penyair_Berdiri,Ibu Kita Kartini mengangkat derajat wanita agar setara dengan pria bukan dengan memberi anak-anak gadis masa itu makan siang &amp; minum susu tapi dengan pendidikan. Bayangkan saja jika ada sekolah gratis 12 tahun hingga Lulus Kuliah dengan Satu Keluarga Satu Sarjana ! SDM Unggul ! https://t.co/koXvr6B4qG
eeicaaii_,Yang biasanya update kepanitiaan selama kuliah mat di um sekarang ganti jadi misterius girl yang akun IG nya no PP. Lucu bgt dan hanya bisa mlongo krna dia waktu pendidikan makannya 4 centong dlam waktu 15 menit. Klau dlu bisa minta tolong ngerjain tugas metstatku skrng egk lgi
seungmintry,guys mata kuliah psikologi pendidikan itu mempelajari apa ya? thankss
mulfaneonni,Kita tunggu apa yang akan terjadi di 2024. Apakah kurikulum merdeka masih akan berjalan atau pendidikan Indonesia tetap didikte oleh politik. Semangat para praktisi sekolah yang terikat sistem. Btw masih ada sistem UTBK untuk masuk kuliah seperti suneung di Korsel.
moonxrises, saya kuliah jurusan pendidikan musik - lemah - mau jadi guru ya? - nyanyi-nyanyi doang - mau jadi pengamen kh? SAYA AKAN MEMBANGKITKAN LUDWIG VAN BEETHOVEN DENGAN MUSIK SAYA - wowww namany kren bgt?? tu syph?? - mw liat playlist spotifyku donkk - bisa main lgu canon in d gk?
hilocokelatt, Saya kuliah di UPI - jadi guru - deket mesjid aa gym - oh jurusan pendidikan Saya kuliah di Bandung - disangka di Unpad terus - wah keren di Bandung - ditanya cara baca Ciumbuleuit
zanatul_91,Kisah guru dari Bogor temen kuliah yang tiap ngumpulin tugas selalu jam 12 malem. Pas saya tanya ternyata imput2 data yang gak abis-abis. Saya ceritain di tiktok. Ternyata rame dan banyak yang senasib. Kenapa kalian ini gak pernah masuk hitungan survei keberhasilan pendidikan? https://t.co/yrUfDk3IWl
zella_yentriii,Aksi Nyata Topik 4 Mata Kuliah Filosofi Pendidikan #ppgprajabatan #pendidikanpancasila https://t.co/Dk0wt6oVis
skyrawrr_,@18fesss Imo pendidikan itu penting cowo gua sebelumnya ga kuliah dan sekarang dia mutusin buat kuliah biar pendidikannya setara sama gua kalo menurut lu pendidikan itu penting suruh dia ikut paket c tapi kalo gamau ya gua lebih pilih buat cari yang setara
keitaayow, Hooh kuliah jurusan manajemen pendidikan -mau jadi dosen kek kakaknya -halah jurusan udah banyak seabrek -mata kek zombie KULIAH MP UNTUK JADI PNS - IDAMAN TETANGGA -IDAMAN MERTUA -IDAMAN PAK RT -SIAP MEMBUATMU KLEPEK2 KEK KESETANAN
